pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
bmr_bmrR.3620	intergenic_UTR	bmr_bmrR	BSU_24010	General stress proteins (controlled by SigB), Resistance against toxins/ antibiotics, Other exporters, Membrane proteins	2.51	na
yfhD.1272	CDS	yfhD	BSU_08490	General stress proteins (controlled by SigB), Sporulation proteins/ other	-2.5	na
carB.1664	CDS	carB	BSU_11240	Biosynthesis/ acquisition of arginine	2.5	na
dapI_ykuS.2125	intergenic_UTR	dapI_ykuS	BSU_14190	Biosynthesis of peptidoglycan, Biosynthesis/ acquisition of lysine/ threonine, Biosynthesis of peptidoglycan, Essential genes	-2.5	na
yhcC.1351	CDS	yhcC	BSU_09030	Membrane proteins, Proteins of unknown function	-2.49	na
yclD.579	CDS	yclD	BSU_03652	Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)	-2.48	na
BSU_07166.1097	CDS	BSU_07166	BSU_07166	na	2.47	na
S598.2514	S_feature	S598	new_1744297_1744366	na	2.47	na
yobR_yobS.2888	intergenic_UTR	yobR_yobS	BSU_19060	Proteins of unknown function	2.47	na
yqfQ.3782	CDS	yqfQ	BSU_25150	Sporulation proteins/ other	2.47	na
ywzE.5542	CDS	ywzE	BSU_36668	Proteins of unknown function	2.47	na
yyzB.6110	CDS	yyzB	BSU_40460	Newly identified sporulation proteins (based on transcription profiling)	2.47	na
S63.272	sRNA_independent	S63	new_159779_160673	na	-2.47	na
yeeD.1054	CDS	yeeD	BSU_06790	Proteins of unknown function	-2.45	na
yhbJ_yhcA.1346	intergenic_UTR	yhbJ_yhcA	BSU_09000	Proteins of unknown function, Membrane proteins	-2.45	na
yitB.1622	CDS	yitB	BSU_10930	Sulfur metabolism, Sporulation proteins/ other, sulfur metabolism/ general	-2.45	na
hisG.5272	CDS	hisG	BSU_34920	Biosynthesis/ acquisition of histidine	-2.45	na
S572.2356	S_feature	S572	new_1643910_1644485_c	na	-2.45	na
pucE.4916	CDS	pucE	BSU_32470	Utilization of nucleotides	-2.45	na
yukAB_yukC.4825	intergenic_UTR	yukAB_yukC	BSU_31875	Protein secretion, Membrane proteins	-2.44	na
S99.421	S_feature	S99	new_285988_286047	na	2.43	na
yfjE_yfjD.1230	intergenic_UTR	yfjE_yfjD	BSU_08130	Membrane proteins, Proteins of unknown function	-2.43	na
mapA_ybzG.239	intergenic_UTR	mapA_ybzG	BSU_01380	Translation/ other, Protein maturation	-2.42	na
S309.1319	sRNA_independent	S309	new_961009_961338	na	-2.42	na
S166.748	S_feature	S166	new_525021_528076_c	na	-2.41	na
S253.1133	S_feature	S253	new_818976_820073	na	-2.41	na
yhbB.1333	CDS	yhbB	BSU_08920	Not yet assigned	-2.41	na
S373.1565	S_feature	S373	new_1128482_1129270	na	-2.41	na
stoA.2066	CDS	stoA	BSU_13840	Sporulation proteins/ other, Membrane proteins	-2.41	na
yoaS_yozG.2828	intergenic_UTR	yoaS_yozG	BSU_18730	Proteins of unknown function	-2.41	na
S831.3316	sRNA_independent	S831	new_2309787_2310176_c	na	-2.41	na
yueC_yueB.4822	intergenic_UTR	yueC_yueB	BSU_31850	Protein secretion, Membrane proteins	-2.41	na
S1240.4864	sRNA_5UTR	S1240	new_3302764_3302893_c	na	-2.41	na
S1385.5446	S_feature	S1385	new_3712484_3712616	na	-2.41	na
S1390.5459	S_feature	S1390	new_3719173_3720884	na	-2.41	na
S1451.5666	S_feature	S1451	new_3847279_3847347	na	-2.41	na
pyrP_pyaC.2324	transcript	pyrP_pyaC	BSU_15480	Biosynthesis/ acquisition of pyrimidine nucleotides, Membrane proteins, Nucleotide/ nucleoside transporter	2.39	na
mifM_oxaAB.3602	intergenic_UTR	mifM_oxaAB	BSU_23880	Translation/ other, Membrane proteins	-2.37	na
sleB.3465	CDS	sleB	BSU_22930	Membrane proteins, Additional germination proteins	-2.35	na
S1416.5545	sRNA_independent	S1416	new_3769809_3769955_c	na	2.3	na
S1243.4875	sRNA_independent	S1243	new_3307598_3308367	na	-2.29	na
comGB.3720	CDS	comGB	BSU_24720	Genetic competence, Genetic competence, Membrane proteins	2.28	na
pyrK.2329	CDS	pyrK	BSU_15530	Biosynthesis/ acquisition of pyrimidine nucleotides	2.25	0.0842102299134018
ydzL.759	CDS	ydzL	BSU_04839	ICEBs1, Proteins of unknown function	-2.25	na
sigO.5031	CDS	sigO	BSU_33230	Sigma factors, Sigma factors, Acid stress proteins (controlled by YvrI-YvrHa)	-2.25	na
kdgT_kdgA.3335	intergenic_UTR	kdgT_kdgA	BSU_22090	Utilization of hexuronate, Carbohydrate transporter, Efp-dependent proteins, Membrane proteins	-2.25	na
sspK.1280	CDS	sspK	BSU_08550	Small acid-soluble spore proteins	2.25	na
S360.1513	S_feature	S360	new_1094651_1095022	na	2.25	na
S104.447	sRNA_independent	S104	new_304308_304389_c	na	2.23	na
ytcB.4663	CDS	ytcB	BSU_30870	Poorly characterized/ putative enzymes, Sporulation proteins/ other	2.23	na
yisQ.1606	CDS	yisQ	BSU_10820	Membrane proteins, Proteins of unknown function, Multidrug exporters/ based on homology	2.23	na
ypuI_spcB.3505	intergenic_UTR	ypuI_spcB	BSU_23200	rRNA modification and maturation	-2.23	na
YP_009513957.2656	CDS	YP_009513957	na	na	-2.23	na
S1071.4282	sRNA_independent	S1071	new_2896973_2897093_c	na	-2.22	na
ydgA.865	CDS	ydgA	BSU_05560	Sporulation proteins/ other	2.22	na
S391.1614	S_feature	S391	new_1168046_1168198_c	na	2.22	na
S761.3008	S_feature	S761	new_2153357_2153439_c	na	2.22	na
ssbB_ywpG.5493	intergenic_UTR	ssbB_ywpG	BSU_36310	DNA replication, DNA repair/ recombination, Genetic competence, Genetic competence, Phosphorylation on an Arg residue, Phosphorylation on a Tyr residue, Other proteins	2.22	na
kamB.2986	CDS	kamB	BSU_19700	Sporulation proteins/ other, Poorly characterized/ putative enzymes	-2.21	na
yvrJ.5032	CDS	yvrJ	BSU_33239	Acid stress proteins (controlled by YvrI-YvrHa)	-2.21	na
pyrAA.2327	CDS	pyrAA	BSU_15510	Biosynthesis/ acquisition of pyrimidine nucleotides	2.2	0.0543648165077089
yhjG_yhjH.1557	intergenic_UTR	yhjG_yhjH	BSU_10500	Poorly characterized/ putative enzymes, Efp-dependent proteins	-2.2	na
spsMc.3267	pseudogene	spsMc	BSU_21670	Newly identified sporulation proteins (based on transcription profiling), Biosynthesis of legionaminic acid (for spore crust))	-2.2	na
ythB.4642	CDS	ythB	BSU_30720	Terminal oxidases, Membrane proteins, Newly identified sporulation proteins (based on transcription profiling)	2.2	na
yodN.2981	CDS	yodN	BSU_19670	Newly identified sporulation proteins (based on transcription profiling)	2.19	na
yokU.2984	CDS	yokU	BSU_19689	Sporulation proteins/ other	-2.19	na
spoVAEA.3533	CDS	spoVAEA	BSU_23401	Additional germination proteins	-2.19	na
yhjD.1551	CDS	yhjD	BSU_10470	Proteins of unknown function	-2.18	na
cotSA.4668	CDS	cotSA	BSU_30910	Not yet assigned	-2.18	na
ywhH.5667	CDS	ywhH	BSU_37480	Proteins of unknown function	-2.18	na
uglF_ptpZ.5478	intergenic_UTR	uglF_ptpZ	BSU_36230	Phosphorylation on a Tyr residue	-2.18	na
ylxF_fliK.2443	intergenic_UTR	ylxF_fliK	BSU_16260	Proteins of unknown function, Swarming	2.17	na
xkdX_xepA.1909	intergenic_UTR	xkdX_xepA	BSU_12770	PBSX prophage	-2.17	na
Novel_transcript.3662	Novel_transcript	Novel_transcript	na	na	-2.17	na
YP_009513986.4036	CDS	YP_009513986	na	na	-2.17	na
ytrA_YP_009513999.4607	intergenic_UTR	ytrA_YP_009513999	BSU_30460	Transcription factors/ other, Cold stress proteins, Resistance against toxins/ antibiotics, Newly identified competence genes, Sporulation/ other	-2.17	na
yhgD_yhgE.1508	intergenic_UTR	yhgD_yhgE	BSU_10150	Transcription factor/ other/ based on similarity	-2.17	na
S92.384	sRNA_5UTR	S92	new_258887_259015	na	-2.16	na
tcyK_tcyJ.4451	intergenic_UTR	tcyK_tcyJ	BSU_29370	Biosynthesis/ acquisition of cysteine, Membrane proteins, Uptake of amino acids	-2.16	na
S1291.5101	sRNA_independent	S1291	new_3463251_3463318_c	na	-2.16	na
fldN.2119	CDS	fldN	BSU_14150	Electron transport/ other	-2.16	0.0988479087423022
xkdM_xkdN.1889	intergenic_UTR	xkdM_xkdN	BSU_12660	PBSX prophage, Secreted proteins	-2.15	na
sigG.2297	CDS	sigG	BSU_15330	Sigma factors, Sigma factors, Sporulation proteins/ other	-2.14	na
S969.3873	S_feature	S969	new_2647863_2648916	na	-2.14	na
spoIVFB.4229	CDS	spoIVFB	BSU_27970	Control of sigma factors, Sporulation proteins/ other, Membrane proteins, Proteolysis during sporulation/ germination	-2.14	na
S252.1132	S_feature	S252	new_818856_819310_c	na	-2.12	na
asd_dapG.2520	intergenic_UTR	asd_dapG	BSU_16750	Biosynthesis of peptidoglycan, Biosynthesis/ acquisition of lysine/ threonine, Biosynthesis of peptidoglycan, Sporulation proteins/ other, Essential genes, Phosphorylation on a Ser residue, Phosphorylation on a Tyr residue	-2.1	0.152961150956196
S654.2683	S_feature	S654	new_1915122_1915220	na	2.1	na
sigG_S565.2298	CDS_3'UTR	sigG_S565	BSU_15330	Sigma factors, Sigma factors, Sporulation proteins/ other	-2.1	na
rhgR.1080	CDS	rhgR	BSU_07010	Utilization of pectin, Transcription factors/ other, Membrane proteins	-2.1	na
mnrW_ykoY.2002	transcript	mnrW_ykoY	BSU_misc_RNA_87	na	-2.09	na
antE.3794	CDS	antE	BSU_25220	Proteins of unknown function	-2.08	na
safA.4208	CDS	safA	BSU_27840	Not yet assigned	2.08	na
yitG.1627	CDS	yitG	BSU_10980	Sporulation proteins/ other, Resistance against toxins/ antibiotics/ based on similarity, Efp-dependent proteins, Other transporters, Membrane proteins	-2.08	na
yxiTc.5890	pseudogene	yxiTc	BSU_39029	Pseudogenes	-2.06	na
psrF.5691	CDS	psrF	BSU_37620	Control of sigma factors, Sporulation proteins/ other	-2.06	na
chaA_yfkD.1203	intergenic_UTR	chaA_yfkD	BSU_07920	Sporulation proteins/ other, General stress proteins (controlled by SigB), Membrane proteins, Metal ion transporter, Metal ion homeostasis/ Other	2.06	na
xtrA.1868	CDS	xtrA	BSU_12550	PBSX prophage	-2.05	na
yddI.780	CDS	yddI	BSU_04980	ICEBs1, Membrane proteins, Proteins of unknown function	2.04	na
iolI_iolH.5989	intergenic_UTR	iolI_iolH	BSU_39680	Utilization of inositol	-2.03	na
ykvU.2065	CDS	ykvU	BSU_13830	Membrane proteins, Additional germination proteins	2.01	na
yesV.1083	CDS	yesV	BSU_07040	Utilization of pectin	2.01	na
fadA_fadN.4971	intergenic_UTR	fadA_fadN	BSU_32830	Utilization of fatty acids	2.01	na
spsMn.3000	pseudogene	spsMn	BSU_19810	Newly identified sporulation proteins (based on transcription profiling), Biosynthesis of legionaminic acid (for spore crust))	-2.0	na
yodU.3001	CDS	yodU	BSU_19810	Newly identified sporulation proteins (based on transcription profiling), Biosynthesis of legionaminic acid (for spore crust))	-2.0	na
dctR_dctP.699	intergenic_UTR	dctR_dctP	BSU_04460	Utilization of organic acids, Two-component system response regulators, Phosphorylation on an Asp residue	-2.0	na
yhbI.1343	CDS	yhbI	BSU_08990	Transcription factor/ other/ based on similarity	2.0	na
ysdA_rplT.4370	intergenic_UTR	ysdA_rplT	BSU_28840	Membrane proteins, Proteins of unknown function	-1.99	na
yvzC.5090	CDS	yvzC	BSU_33650	Transcription factor/ other/ based on similarity	-1.99	na
acoC.1222	CDS	acoC	BSU_08080	Utilization of acetoin	1.99	0.054820677102484
yveF.5199	pseudogene	yveF	BSU_34420	Proteins of unknown function	-1.98	na
acoL.1223	CDS	acoL	BSU_08090	Utilization of acetoin	1.98	0.0863053956566049
rhaR_rhaE.4714	intergenic_UTR	rhaR_rhaE	BSU_31210	Utilization of rhamnose, Transcription factors/ other	-1.98	na
xkdI.1881	CDS	xkdI	BSU_12630	PBSX prophage	-1.98	na
ydcO.761	CDS	ydcO	BSU_04840	ICEBs1	-1.97	na
brnQ_azlD.4012	intergenic_UTR	brnQ_azlD	BSU_26690	Biosynthesis/ acquisition of branched-chain amino acids, Membrane proteins, BCAA transporters	-1.97	na
YP_009513941.440	CDS	YP_009513941	na	na	-1.97	na
S1079.4317	sRNA_independent	S1079	new_2915149_2915261_c	na	1.96	na
pyrE.2332	CDS	pyrE	BSU_15560	Biosynthesis/ acquisition of pyrimidine nucleotides	1.96	0.0863053956566049
yomS.3206	CDS	yomS	BSU_21240	SP-beta prophage	1.95	0.0967835614917316
cotJB.1068	CDS	cotJB	BSU_06900	Not yet assigned	-1.95	na
senS.1317	CDS	senS	BSU_08810	Utilization of other polymeric carbohydrates, Transcription factors/ other	-1.95	na
ylmC_S566.2303	CDS_3'UTR	ylmC_S566	BSU_15360	Sporulation proteins/ other	-1.95	na
comER.3856	CDS	comER	BSU_25600	Genetic competence, Genetic competence, Newly identified sporulation proteins (based on transcription profiling)	-1.95	na
pyrF.2331	CDS	pyrF	BSU_15550	Biosynthesis/ acquisition of pyrimidine nucleotides, Newly identified competence genes	1.95	0.0863053956566049
acoB.1221	CDS	acoB	BSU_08070	Utilization of acetoin	1.94	0.054820677102484
yrdK.4010	CDS	yrdK	BSU_26680	Proteins of unknown function	-1.94	na
pyrP.2322	CDS	pyrP	BSU_15480	Biosynthesis/ acquisition of pyrimidine nucleotides, Membrane proteins, Nucleotide/ nucleoside transporter	1.93	0.129095616629796
S495.2050	sRNA_independent	S495	new_1441789_1442065	na	-1.93	na
gltB_gltA.2780	intergenic_UTR	gltB_gltA	BSU_18440	Biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation	-1.93	na
S160.720	sRNA_independent	S160	new_514779_515106	na	-1.93	na
ysxA_maf.4243	intergenic_UTR	ysxA_maf	BSU_28040	DNA repair/ recombination, Genetic competence, Genetic competence, Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Phosphorylation on an Arg residue, Other proteins	-1.92	na
rpsNB.1326	CDS	rpsNB	BSU_08880	Ribosomal proteins	1.92	na
spsF.5719	CDS	spsF	BSU_37860	Sporulation proteins/ other	-1.92	na
argD.1662	CDS	argD	BSU_11220	Biosynthesis/ acquisition of arginine	1.92	na
yceJ.471	CDS	yceJ	BSU_02960	Resistance against toxins/ antibiotics/ based on similarity, Membrane proteins, Other transporters	1.91	na
